Result Log

random seed: 1606534953285
strategy: ccegp
number of runs per experiment: 30
number of fitness evals per run: 2000
pac solution file path: solutions/config1PacSolution.txt
ghost solution file path: solutions/config1GhostSolution.txt
highest-scoring world file path: worlds/config1HighScoreWorld.txt
pill density: 0.5
fruit spawning probability: 0.01
fruit score: 10.0
time multiplier: 2.0
pac_mu: 100
pac_lambda: 50
pac_dmax_init: 7
pac_dmax_overall: 9
pac_parent selection method: overselection
pac_overselection top for parent selection: 0.32
pac_probability of mutation p_m: 0.05
pac_survival selection method: truncation
pac_parsimony technique: size
pac_parsimony pressure penalty coefficient: 0.5
ghost_mu: 100
ghost_lambda: 50
ghost_dmax_init: 7
ghost_dmax_overall: 9
ghost_parent selection method: overselection
ghost_overselection top for parent selection: 0.32
ghost_probability of mutation p_m: 0.05
ghost_survival selection method: truncation
ghost_parsimony technique: size
ghost_parsimony pressure penalty coefficient: 0.5
termination method: number_of_evals
CIAO data file path root: config1
parsimony log file path: data/config1ParsimonyLog.txt

Run 1
100	-46.83	69.5
150	5.12	77.5
200	13.74	77.5
250	24.29	95.5
300	34.15	95.5
350	43.95	109.5
400	53.35	109.5
450	57.29	109.5
500	59.46	109.5
550	62.75	109.5
600	64.27	109.5
650	67.35	109.5
700	69.86	109.5
750	73.96	133.5
800	75.39	133.5
850	78.55	133.5
900	80.26	133.5
950	81.82	133.5
1000	84.92	133.5
1050	86.29	142.5
1100	88.96	142.5
1150	90.42	142.5
1200	93.0	143.5
1250	95.06	143.5
1300	96.05	143.5
1350	97.46	143.5
1400	98.42	143.5
1450	99.04	143.5
1500	100.79	144.5
1550	101.33	144.5
1600	101.98	144.5
1650	102.57	144.5
1700	103.19	144.5
1750	103.98	144.5
1800	104.59	144.5
1850	104.8	144.5
1900	105.08	144.5
1950	105.59	144.5
2000	105.9	144.5

Run 2
100	-49.73	54.5
150	-9.58	54.5
200	9.95	61.5
250	18.25	61.5
300	24.96	61.5
350	30.84	99.5
400	36.62	99.5
450	41.67	99.5
500	46.43	99.5
550	49.41	99.5
600	53.03	99.5
650	56.17	124.5
700	58.34	126.5
750	61.35	126.5
800	63.15	126.5
850	66.55	126.5
900	69.91	136.5
950	71.67	136.5
1000	73.87	136.5
1050	74.96	136.5
1100	77.25	147.5
1150	78.32	147.5
1200	79.45	147.5
1250	82.1	147.5
1300	83.61	147.5
1350	84.38	147.5
1400	84.92	147.5
1450	86.07	147.5
1500	86.73	147.5
1550	87.42	147.5
1600	89.15	147.5
1650	90.82	151.5
1700	92.61	151.5
1750	93.03	151.5
1800	93.33	151.5
1850	94.89	151.5
1900	95.48	151.5
1950	97.36	151.5
2000	97.68	151.5

Run 3
100	-68.07	36.5
150	-20.44	36.5
200	3.48	46.5
250	8.73	55.5
300	15.49	65.5
350	24.76	87.5
400	32.18	98.5
450	38.5	98.5
500	43.72	98.5
550	47.31	98.5
600	50.76	105.5
650	53.91	105.5
700	57.09	105.5
750	60.86	106.5
800	65.52	106.5
850	67.91	106.5
900	69.99	106.5
950	71.98	106.5
1000	73.7	107.5
1050	74.74	107.5
1100	77.45	107.5
1150	78.89	107.5
1200	80.35	107.5
1250	81.43	107.5
1300	81.9	107.5
1350	82.84	108.5
1400	84.39	108.5
1450	85.12	124.5
1500	85.61	124.5
1550	86.62	124.5
1600	87.87	124.5
1650	88.23	124.5
1700	88.66	124.5
1750	89.64	124.5
1800	89.94	124.5
1850	90.97	146.5
1900	91.28	146.5
1950	92.3	146.5
2000	93.34	146.5

Run 4
100	-51.7	34.5
150	-5.84	77.5
200	7.75	77.5
250	17.02	77.5
300	26.17	77.5
350	34.55	98.5
400	39.52	98.5
450	41.93	98.5
500	45.45	107.5
550	49.46	107.5
600	51.65	107.5
650	56.26	107.5
700	59.35	107.5
750	62.44	107.5
800	65.47	107.5
850	66.86	107.5
900	67.87	107.5
950	69.56	107.5
1000	71.43	107.5
1050	72.79	107.5
1100	74.66	108.5
1150	76.31	108.5
1200	77.2	108.5
1250	77.24	108.5
1300	79.83	146.5
1350	80.2	146.5
1400	81.34	146.5
1450	82.06	146.5
1500	83.11	146.5
1550	84.2	146.5
1600	85.29	146.5
